3806344332.791	0.000	297.443	0.000	297.497	297.439	297.385	297.902	297.936	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.834	296.992	297.195	297.098	0.000	0.000	0.000	-0.726	-5.142	1.497	1.680	-376.802	97.342	0.000	0.100	0.100	759.197	376.800	0.000	0.000	1.792	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344372.357	0.000	297.450	0.000	297.508	297.448	297.382	297.900	297.935	0.000	155.000	166.000	0.000	0.000	155.263	0.000	0.000	297.840	296.993	297.196	297.100	0.000	0.000	0.000	-0.143	0.003	0.983	2.129	-376.802	93.447	0.000	0.100	0.100	760.795	376.800	0.000	0.000	-0.264	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344382.357	0.000	297.423	0.000	297.488	297.435	297.361	297.891	297.929	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.822	296.994	297.198	297.100	0.000	0.000	0.000	-1.163	5.148	1.497	2.046	-376.802	92.613	0.000	0.100	0.100	760.795	376.800	0.000	0.000	-1.293	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344392.357	0.000	297.443	0.000	297.501	297.444	297.391	297.906	297.931	0.000	155.000	166.000	0.000	0.000	155.263	0.000	0.000	297.842	296.992	297.198	297.099	0.000	0.000	0.000	-1.454	-5.142	2.012	2.006	-376.802	93.633	0.000	0.100	0.100	760.795	376.800	0.000	0.000	-1.293	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344402.357	0.000	297.443	0.000	297.495	297.435	297.378	297.906	297.928	0.000	155.000	166.000	0.000	0.000	155.263	0.000	0.000	297.833	296.991	297.199	297.101	0.000	0.000	0.000	-0.580	0.003	0.983	1.967	-375.773	93.448	0.000	0.100	0.100	760.795	376.800	0.000	0.000	-1.293	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344412.357	0.000	297.440	0.000	297.516	297.438	297.378	297.899	297.933	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.833	296.993	297.197	297.098	0.000	0.000	0.000	-0.580	0.003	1.497	2.006	-376.288	92.522	0.000	0.100	0.100	760.795	376.800	0.000	0.000	-2.321	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344422.357	0.000	297.434	0.000	297.507	297.429	297.377	297.884	297.910	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.828	296.997	297.198	297.100	0.000	0.000	0.000	-0.289	0.003	0.468	2.259	-376.288	93.264	0.000	0.100	0.100	759.197	376.800	0.000	0.000	-2.321	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344432.357	0.000	297.441	0.000	297.512	297.444	297.377	297.898	297.920	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.827	297.002	297.198	297.103	0.000	0.000	0.000	-0.726	10.293	2.526	2.171	-376.288	93.310	0.000	0.100	0.100	760.795	376.800	0.000	0.000	-2.321	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344442.358	0.000	297.438	0.000	297.508	297.441	297.374	297.893	297.919	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.814	297.008	297.202	297.102	0.000	0.000	0.000	-1.017	0.003	0.983	2.087	-376.802	93.355	0.000	0.100	0.100	759.197	376.800	0.000	0.000	-2.836	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344452.358	0.000	297.436	0.000	297.513	297.447	297.377	297.888	297.919	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.820	297.010	297.205	297.101	0.000	0.000	0.000	-0.580	0.003	0.983	2.087	-375.773	93.215	0.000	0.100	0.100	760.795	376.800	0.000	0.000	-3.350	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344462.357	0.000	297.438	0.000	297.510	297.433	297.370	297.881	297.920	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.813	297.006	297.204	297.102	0.000	0.000	0.000	-0.726	5.148	1.497	2.129	-376.802	93.309	0.000	0.100	0.100	763.993	376.800	0.000	0.000	-4.378	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344472.358	0.000	297.448	0.000	297.517	297.449	297.379	297.894	297.937	0.000	155.000	166.000	0.000	0.000	155.263	0.000	0.000	297.817	297.002	297.205	297.104	0.000	0.000	0.000	-0.580	5.148	0.468	2.087	-376.802	93.867	0.000	0.100	0.100	760.795	376.800	0.000	0.000	4.878	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344482.359	0.000	297.442	0.000	297.526	297.432	297.374	297.889	297.953	0.000	155.000	166.000	0.000	0.000	155.263	0.000	0.000	297.816	296.996	297.215	297.103	0.000	0.000	0.000	-0.143	0.003	1.497	2.087	-376.802	93.449	0.000	0.100	0.100	759.197	376.800	0.000	0.000	4.363	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344492.357	0.000	297.476	0.000	297.970	297.443	297.396	297.891	297.921	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.821	296.995	297.230	297.108	0.000	0.000	0.000	-0.726	0.003	0.468	2.129	-376.802	93.077	0.000	0.100	0.100	760.795	376.800	0.000	0.000	3.849	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344502.357	0.000	297.487	0.000	297.929	297.447	297.395	297.883	297.923	0.000	155.000	166.000	0.000	0.000	155.339	0.000	0.000	297.812	297.006	297.259	297.194	0.000	0.000	0.000	-0.580	0.003	0.983	2.129	-376.802	93.540	0.000	0.100	0.100	760.795	376.800	0.000	0.000	3.335	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3806344512.357	0.000	297.487	0.000	297.846	297.445	297.392	297.860	297.938	0.000	155.000	166.000	0.000	0.000	155.263	0.000	0.000	297.804	297.010	297.283	297.241	0.000	0.000	0.000	-0.580	10.293	0.468	2.129	-376.288	93.448	0.000	0.100	0.100	759.197	376.800	0.000	0.000	2.821	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
