3730481091.805	286.908	292.369	292.135	0.000	286.764	0.000	283.385	291.290	0.000	155.000	166.000	0.000	0.000	0.000	0.000	292.123	0.000	0.000	0.000	0.000	-0.142	1.305	-1.422	0.178	-376.800	82.092	0.000	0.100	0.100	762.431	376.800	0.000	0.000	816.807	0.000	0.000	0.000	1.000	23.900	-28.400	152.900	155.700	9.600
3730481127.491	286.910	292.367	292.141	0.000	286.782	0.000	283.702	291.267	0.000	155.000	166.000	0.000	0.000	0.000	0.000	292.120	0.000	0.000	0.000	0.000	-0.142	-1.266	3.719	0.174	-376.800	92.939	0.000	0.100	0.100	760.867	376.800	0.000	0.000	864.628	0.000	0.000	0.000	1.000	23.900	-28.400	152.900	144.200	12.100
3730481129.975	286.913	292.368	292.140	0.000	286.785	0.000	283.734	291.265	0.000	155.000	166.000	0.000	0.000	0.000	0.000	292.124	0.000	0.000	0.000	0.000	-0.142	3.876	3.719	0.178	-376.800	92.475	0.000	0.100	0.100	758.521	376.800	0.000	0.000	821.434	0.000	0.000	0.000	1.000	23.900	-27.800	152.900	149.300	9.600
3730481132.974	286.913	292.379	292.137	0.000	286.794	0.000	283.771	291.270	0.000	155.000	166.000	0.000	0.000	0.000	0.000	292.123	0.000	0.000	0.000	0.000	0.161	1.305	3.719	0.181	-376.800	93.124	0.000	0.100	0.100	756.958	376.800	0.000	0.000	861.028	0.000	0.000	0.000	1.000	23.400	-27.300	153.200	150.600	11.500
3730481135.974	286.902	292.371	292.132	0.000	286.791	0.000	283.797	291.260	0.000	155.000	166.000	0.000	0.000	0.000	0.000	292.120	0.000	0.000	0.000	0.000	0.161	-1.266	1.149	0.181	-376.800	92.660	0.000	0.100	0.100	759.303	376.800	0.000	0.000	852.287	0.000	0.000	0.000	1.000	23.000	-27.800	153.500	150.600	13.400
3730481138.974	286.910	292.367	292.140	0.000	286.790	0.000	283.834	291.265	0.000	155.000	166.000	0.000	0.000	0.000	0.000	292.115	0.000	0.000	0.000	0.000	-0.142	1.305	1.149	0.189	-376.800	92.568	0.000	0.100	0.100	753.830	376.800	0.000	0.000	832.233	0.000	0.000	0.000	1.000	23.000	-27.800	153.500	165.200	12.800
3730481141.974	286.907	292.366	292.135	0.000	286.789	0.000	283.868	291.262	0.000	155.000	166.000	0.000	0.000	0.000	0.000	292.130	0.000	1.000	1.000	0.000	0.161	-1.266	3.719	0.181	-376.800	92.336	0.000	0.100	0.100	757.739	376.800	0.000	0.000	837.889	0.000	0.000	0.000	1.000	23.000	-27.800	153.500	149.300	10.800
3730481144.974	286.897	292.371	292.138	0.000	286.786	0.000	283.892	291.256	0.000	155.000	166.000	0.000	0.000	0.000	0.000	292.117	0.000	1.000	1.000	0.000	-0.142	-1.266	1.149	0.174	-376.800	92.197	0.000	0.100	0.100	759.303	376.800	0.000	0.000	866.170	0.000	0.000	0.000	1.000	23.000	-27.800	153.500	149.900	12.100
3730481147.974	286.890	292.364	292.130	0.000	286.785	0.000	283.905	291.251	0.000	155.000	166.000	0.000	0.000	0.000	0.000	292.122	0.000	1.000	1.000	0.000	0.161	-1.266	1.149	0.174	-376.800	93.078	0.000	0.100	0.100	760.085	376.800	0.000	0.000	842.003	0.000	0.000	0.000	1.000	23.000	-27.300	153.700	155.000	17.200
3730481150.975	286.887	292.376	292.135	0.000	286.787	0.000	283.896	291.264	0.000	155.000	166.000	0.000	0.000	0.000	0.000	292.121	0.000	1.000	1.000	0.000	-0.142	-1.266	1.149	0.181	-376.800	92.939	0.000	0.100	0.100	762.431	376.800	0.000	0.000	849.716	0.000	0.000	0.000	1.000	23.900	-27.300	154.300	151.200	18.500
